iter	AUC	Logloss
0	0.8089860828	0.654524532
1	0.8311629026	0.6198428418
2	0.8348896551	0.5880714904
3	0.8358277978	0.5590826347
4	0.8420092222	0.5325632142
5	0.8485406114	0.5082555332
6	0.8534241559	0.4859422464
7	0.8536686385	0.4651721016
8	0.8536699307	0.4463115484
9	0.853897661	0.4286497646
10	0.8536333336	0.4121894302
11	0.8542706574	0.3972158218
12	0.8540470116	0.3831443374
13	0.8538617449	0.3700792295
14	0.853980518	0.3579899504
15	0.8561174487	0.346921716
16	0.8557475645	0.3365377739
17	0.8561787537	0.3267419723
18	0.8564647474	0.3175870062
19	0.8564279328	0.3089933901
20	0.8565671055	0.3009246328
21	0.8568234091	0.2934671293
22	0.8568549002	0.286384369
23	0.8569292668	0.2799515419
24	0.8570302565	0.2737901391
25	0.8569367175	0.2680775627
26	0.8569232344	0.2626087795
27	0.8570350641	0.2575472232
28	0.8570750123	0.2527941928
29	0.857196319	0.2483343138
30	0.8573501891	0.244279015
31	0.8571927155	0.2403659727
32	0.857060126	0.2366898332
33	0.8569520967	0.2332110366
34	0.8571053413	0.2298751775
35	0.8570760933	0.2270280737
36	0.8570607832	0.2242970246
37	0.8570430537	0.221871238
38	0.8570250028	0.2192726788
39	0.857493336	0.2169182943
40	0.8575509295	0.2148620724
41	0.8575438138	0.2126968976
42	0.8581514117	0.2107196374
43	0.858078385	0.2089817043
44	0.8582708111	0.2073776025
45	0.858186042	0.2057976221
46	0.8581614746	0.2043098897
47	0.8583769886	0.2028511179
48	0.8585641746	0.2014763705
49	0.8590697748	0.2001889239
50	0.8590452201	0.1989323307
51	0.8591753197	0.1977634669
52	0.859192465	0.1966217927
53	0.859347378	0.1957354768
54	0.8594307359	0.1947538162
55	0.8595722334	0.1938417416
56	0.8596767743	0.193012359
57	0.8598121617	0.192263341
58	0.8598508248	0.1914983232
59	0.8599264987	0.1907718691
60	0.8600181335	0.1901933256
61	0.8599769638	0.1895415742
62	0.8599653269	0.188906112
63	0.8599417827	0.1883195975
64	0.8599881989	0.1878599421
65	0.8600902951	0.1873681951
66	0.8602350088	0.1869358314
67	0.8603997426	0.1864453544
68	0.8605730233	0.1860014792
69	0.8606168132	0.1855726755
70	0.8606741813	0.185250126
71	0.8607252568	0.1848782994
72	0.860830708	0.1845405489
73	0.8611917104	0.1842932484
74	0.8616896186	0.1839600463
75	0.8617001696	0.1836746231
76	0.8616599626	0.1833527306
77	0.8618033397	0.1831404309
78	0.8618525118	0.1829043474
79	0.8619119063	0.1826563416
80	0.8620347497	0.1824697566
81	0.8620831034	0.1823275127
82	0.8620913725	0.1820879161
83	0.8623936376	0.1818853852
84	0.8623775773	0.1817294161
85	0.8624130664	0.1816016749
86	0.8624570007	0.1814402446
87	0.8625297663	0.1812685719
88	0.8627326577	0.1811234945
89	0.8628662259	0.1809352004
90	0.8630156543	0.1808104245
91	0.8630374604	0.1807118216
92	0.8631449404	0.1805961626
93	0.86317748	0.1804754128
94	0.8632702951	0.180307107
95	0.8633045523	0.1802031692
96	0.8634022219	0.1800679469
97	0.8634511789	0.1799657898
98	0.8635772265	0.1798517147
99	0.8637110638	0.1797297525
100	0.8637920905	0.1796201918
101	0.8637931469	0.1795463258
102	0.863781249	0.1794624599
103	0.8637930017	0.1793424645
104	0.8639697573	0.1792172884
105	0.8640255372	0.179168386
106	0.8640495196	0.1791207203
107	0.8642107261	0.1790375742
108	0.8642393129	0.1789917422
109	0.8643704063	0.1788812127
110	0.8644486764	0.1788231415
111	0.8644776172	0.178735112
112	0.8645864458	0.1786800454
113	0.8646142198	0.1786107458
114	0.8646468205	0.1785417403
115	0.8646787093	0.1785047043
116	0.8647498517	0.1784678788
117	0.8647243279	0.1784126356
118	0.8647202727	0.1783769128
119	0.8647240532	0.1783179544
120	0.8647347797	0.17825388
121	0.8647944488	0.1782113784
122	0.8648042529	0.1781837803
123	0.86482198	0.1781599012
124	0.864855607	0.1781203982
125	0.8648676621	0.1780799224
126	0.8648924128	0.1780555673
127	0.8649317419	0.1780295205
128	0.8649759191	0.1779538286
129	0.8650105827	0.1779202947
130	0.8650414214	0.1778813833
131	0.8651578244	0.177834168
132	0.8652188731	0.1778017947
133	0.8652874795	0.1777595303
134	0.8653399282	0.1777294757
135	0.8653933015	0.1776988109
136	0.8653917172	0.1776460776
137	0.8654309923	0.1776232099
138	0.8655066503	0.1775849076
139	0.8655284285	0.1775471027
140	0.8655649129	0.1775018104
141	0.8655940705	0.1774840183
142	0.8656397065	0.177457904
143	0.8656806358	0.1774344844
144	0.8657191609	0.1774132435
145	0.8657657415	0.1773712984
146	0.8658027672	0.1773519035
147	0.865823104	0.1773374925
148	0.8658428519	0.1773192014
149	0.8658517131	0.1772989287
