iter	Passed	Remaining
0	80	12040
1	108	8043
2	132	6488
3	163	5959
4	201	5850
5	236	5680
6	273	5579
7	312	5544
8	361	5658
9	388	5437
10	417	5281
11	456	5247
12	493	5197
13	592	5753
14	630	5670
15	669	5605
16	732	5733
17	776	5694
18	818	5644
19	860	5591
20	908	5577
21	955	5557
22	989	5464
23	1027	5393
24	1086	5431
25	1131	5398
26	1165	5308
27	1197	5217
28	1226	5118
29	1260	5042
30	1300	4990
31	1342	4949
32	1390	4929
33	1434	4892
34	1496	4918
35	1539	4876
36	1566	4783
37	1597	4707
38	1644	4681
39	1698	4670
40	1743	4634
41	1785	4591
42	1823	4536
43	1847	4451
44	1873	4370
45	1904	4304
46	1934	4239
47	1972	4191
48	2015	4153
49	2063	4127
50	2110	4096
51	2151	4055
52	2183	3996
53	2219	3946
54	2251	3888
55	2288	3840
56	2331	3803
57	2369	3759
58	2404	3708
59	2440	3661
60	2466	3598
61	2498	3546
62	2545	3515
63	2584	3473
64	2635	3446
65	2685	3417
66	2727	3379
67	2774	3345
68	2817	3307
69	2855	3263
70	2899	3226
71	2929	3173
72	2959	3121
73	2983	3063
74	3009	3009
75	3040	2960
76	3071	2911
77	3121	2881
78	3170	2849
79	3208	2807
80	3243	2762
81	3269	2711
82	3299	2663
83	3334	2620
84	3360	2569
85	3390	2522
86	3437	2489
87	3481	2453
88	3524	2415
89	3571	2380
90	3601	2334
91	3627	2287
92	3661	2243
93	3690	2198
94	3782	2190
95	3870	2177
96	3912	2137
97	3937	2089
98	3974	2047
99	4006	2003
100	4046	1962
101	4070	1915
102	4098	1870
103	4128	1826
104	4159	1782
105	4195	1741
106	4240	1704
107	4282	1665
108	4320	1625
109	4348	1581
110	4375	1537
111	4403	1493
112	4441	1454
113	4489	1417
114	4539	1381
115	4572	1340
116	4596	1296
117	4625	1254
118	4652	1211
119	4689	1172
120	4734	1134
121	4784	1098
122	4822	1058
123	4855	1018
124	4889	977
125	4923	937
126	4969	899
127	5006	860
128	5046	821
129	5076	781
130	5102	740
131	5129	699
132	5155	659
133	5199	620
134	5240	582
135	5279	543
136	5314	504
137	5338	464
138	5366	424
139	5393	385
140	5435	346
141	5476	308
142	5521	270
143	5560	231
144	5586	192
145	5612	153
146	5639	115
147	5710	77
148	5751	38
149	5792	0
